,preprocessed,category
7060,бутылkа д воды мл,напитки
7698,йогурт савушкин грамм,молочка
9557,пакет лента майка ксо кг,упаковка
12409,пакет майка малый см,упаковка
6540,пем ср лим сода д м пос мл,для_дома
1318,сметана процент штука,молочка
1459,хлеб де лён подовой грамм,хлеб
13183,сухар хрусteam к пенн крылыш барбекю грамм,снеки
4902,вода мин волжанка литр,напитки
8138,пакет майка самбери х мкм белый,упаковка
8606,мисkа мм мл,для_дома
8260,р м масло сл сл в с процент грамм,молочка
4313,хлеб пшеничный в с,хлеб
1304,сыр адыгейский кг,гастрономия
10046,сахарный песок кг,бакалея
1197,палетка теней нюд грамм,косметика
143,нап вин santa teresa бел полусладкое росс l,алкоголь
5190,биотворог процент грамм груша с мес бр гормол,дети
1888,бур луг прод друж нар пл сыр грамм,гастрономия
1026,авто губка дней универсал эконом,машина
10927,люб нап апел манго детский мяк литр,напитки
13355,сахар рт бакалея бум упаковка кг,бакалея
2030,вафли сливочный грамм kолом,чай_и_сладкое
7332,творог домик в деревне обезжир процент грамм,молочка
9397,сосиски те самые,гастрономия
10854,сахар грамм песоk,бакалея
4453,игр lucy leo пирамида,дети
12758,морковь кг,овощи_и_фрукты
2383,кофе nescafe classic brazil,чай_и_сладкое
3377,ароматизатор мембран,для_дома
1096,рис националь гигант грамм,бакалея
11071,хурма кг,овощи_и_фрукты
11576,мыло жидкое вестар мл,для_дома
10594,огурцы среднеплодные,овощи_и_фрукты
9956,звезд тесто слоеное дрож грамм,бакалея
4089,грамм сметана благода процент,молочка
7022,мини спаржа грамм штука,овощи_и_фрукты
2414,паштет из печени жар грамм,гастрономия
5663,слобода майонез на перепелиных яйцах процент грамм д п,бакалея
4761,малярная лента ммх м unibob,для_дома
6510,аи к,машина
2994,молоко валио unt процент литр,молочка
5239,кофе станд,кафе
2868,пакет майка пнд см,упаковка
11161,нектар фруктовый сад яблочный виш чер ряб,напитки
9483,geolia перец сладкий богатырь,овощи_и_фрукты
5043,д п пюре агуша фрукт яблочный персик грамм,дети
13022,old spice дезодорант мужской стик wolfthorn мл прокт,косметика
4777,укроп свежий зеленый грамм,овощи_и_фрукты
9755,масло благо подсолн рафиниров дезод литр,бакалея
3414,националь рис для плова грамм м у,бакалея
5737,каспер влажные салфетки детские штука новые технол,дети
8463,сухарики корочки ржаные холодец хрен,снеки
10257,сахар песок надежда грамм,бакалея
458,лосось русс мор рубленный с чесноком,гастрономия
3199,шоколадный шейк станд,кафе
6780,настойка глазовская,алкоголь
8788,лук красный,овощи_и_фрукты
10577,петрушkа,овощи_и_фрукты
4400,пеленk детский х штука,дети
12191,вmoлk kокtейль mолочный cливочная,молочка
11288,эл питания дней сол ааа штука czr,для_дома
12267,батон подмосковный грамм,хлеб
4833,лесной бальзам з п с экст коры д,здоровье
7985,хлоп клин экстра овс грамм,бакалея
7246,яблоки первая цена,овощи_и_фрукты
8596,маk цвет дон гу,не_определена
2813,т б рл с р белая,для_дома
5957,семечки отбор от мартин жар грамм,снеки
3266,мороженое грамм щербет с ароматом малины к,чай_и_сладкое
5138,роллтон лапша куриная по домашнему грамм лот,бакалея
6484,сметана процент грамм,кафе
2594,икра щуки ст б грамм,гастрономия
13451,мандарины вес мароk,овощи_и_фрукты
12692,шоколад белый ritter sport с д,чай_и_сладкое
4911,овсяная молочная каша,кафе
1181,масло сливочное процент кг,молочка
1224,c пиво моосбахер вайссбир светлое неф процент литр ст б,алкоголь
7582,пепси кола,кафе
9157,пакет пятерочка х см,упаковка
12974,вят дым молочный гост процент пэт литр,молочка
525,рулет дней с маком грамм,чай_и_сладкое
8190,укроп пучок грамм,овощи_и_фрукты
1448,kомплект wc блеск угловой м пластика,для_дома
1499,тд сметанин молоко процент пленка литр,молочка
3505,д вс семьи молочный пастеризованный процент литр,молочка
1161,молоко kуб буренка процент процент пастеризов мл п бутылка,молочка
6181,пластырь мозольный салипод с,здоровье
4806,творог даренка процент конт грамм аллат,молочка
11048,батончик шоколадный twix грамм,чай_и_сладкое
12024,чечевица мистраль,бакалея
6887,нектар добрый с мякотью деревенские яблочки литр,напитки
3756,ahm чай earl grey грамм,чай_и_сладкое
5981,колос батон пшенич с отр грамм,хлеб
2575,пиво берлинер киндэл,алкоголь
2909,слобода масло подсол раф литр,бакалея
13238,нап б а tornado актив энер газированный ж б l,напитки
2951,яблоки красные свежий цена за кг,овощи_и_фрукты
1880,увелка рис д зер шлиф пак х грамм,бакалея
5466,nutberry курага среднезиатская грамм т м гуд фуд,чай_и_сладкое
3998,корзинка х х,для_дома
5086,соус мивимекс кавказский чили,бакалея
2237,супер чизбургер трад см,кафе
4254,винстон компакт плюс импульс сигареты мрц джти,табак
11326,шоколад alpen gold молочный арах кукур грамм,чай_и_сладкое
7785,йогурт danone пастеризованный пит виш гран процент,молочка
12263,сыр российский процент пленка,гастрономия
13021,сахар белый кристаллический фасованный кг,бакалея
10000,огурцы маринованый kг,овощи_и_фрукты
2560,молоко процент грамм,молочка
10803,фо груши конференс кг,овощи_и_фрукты
4219,грамм посып цв конфети dr oetker,бакалея
200,curtis чай чёрн вкус трюфеля пирам грамм грамм к к,чай_и_сладкое
12897,молоко м стерилизованное грамм,молочка
7712,хлеб дарница двинский нар грамм,хлеб
538,чай трав greenfield creamy rooibos пак,чай_и_сладкое
8633,батон нарезной молочный грамм х з,хлеб
3719,драже криспи м м s грамм,чай_и_сладкое
5189,биотворог процент грамм малина с мес бр гормол,дети
11807,бананы свежий цена за кг,овощи_и_фрукты
10855,туал бумага белая,для_дома
12221,colgate тройное действие з паста,здоровье
12924,б п кефир процент т п мл,молочка
8737,блины пудовъ грамм,бакалея
12976,чудохл хлеб дарницкий неупак,хлеб
305,сбор бруснивер ф пак красногорск,здоровье
11525,пeчеhьe тyлa оpeшеk с bаpеной,чай_и_сладкое
9819,герkулес kд грамм,бакалея
9177,десерт первым делом с клуб нап,чай_и_сладкое
2042,дюбель для гипсокартона бабочка,для_дома
11445,водка белая березка золотая алк процент l,алкоголь
6245,fissman пинцет для удаления рыбных костей см нерж стал,для_дома
10728,анальгин таблетка мг n медисорб,здоровье
11913,здоровый стиль хлебцы пшеничные,хлеб
8787,фор кар ломт с с вакуумная упаковка,гастрономия
12499,суп картофельный с горохом,кафе
274,батон сыктывкархлеб нарезной нар,хлеб
4937,спеленок нектар морковь мл,напитки
542,какао порошок красн октяб золот ярлык,чай_и_сладкое
8630,лапша биг ланч брикет бп со свин чесн и перц грамм,бакалея
12031,рус пр хлоп геркулес овсян грамм,бакалея
9848,морkовь мыт россия,овощи_и_фрукты
628,ручка открытка арт и дизайн,для_дома
2621,хлеб дарницкий грамм,хлеб
12070,ч чуп карам экз троп нат сок,чай_и_сладкое
654,яблоко сезонное кг,овощи_и_фрукты
8078,горох колотый грамм,бакалея
12500,кисель из вишни,кафе
8100,пюре яблоко шиповник клюква витаминный салатик грамм ф,дети
4987,мфу canon pixma mg black черный принтер копир сканер гара,компьютер
1879,p vesp изд мак спираль в с грамм,бакалея
6055,напиток mogu mogu апельсин,напитки
7534,miyata уксус рис для суши мл,бакалея
4665,решётка мв бв,для_дома
8822,айва кг,овощи_и_фрукты
2487,сахар белый кристаллический фасованный кг,бакалея
8484,ам ам бифилайф черника процент мес грамм тба брянски,молочка
5120,джемпер для мальчика светло сер,одежда_и_обувь
13271,чипсы pringles со вкусом краба грамм,снеки
4719,лаk д kотят мнямс ин,животные
507,свекла эконом вес кг,овощи_и_фрукты
2368,тарталетки д икры кит штука,хлеб
13002,лук репчатый свежий цена за кг,овощи_и_фрукты
8504,агуша пюре яблоко персик с мес грамм гуала пак вб,дети
12701,носки мужские bizone b,одежда_и_обувь
3145,хлеб челны хлеб челнинский нар грамм,хлеб
14,always ultra прокладки нормал штука п,здоровье
6472,beerka рыбка сушжелт полосатик кг пач сибирс,снеки
4890,сыр сухой хрустики копченый процент грамм республика адыгея,снеки
3306,семечки джинн жаренные грамм,снеки
9030,сыр город сыра грамм,гастрономия
6252,шоколад экселленс белый с ванилью грамм lindt,чай_и_сладкое
13193,разрыхлитель теста haas грамм,бакалея
2979,батон нарезной грамм неупак казански,хлеб
3665,крахмал haas кукурузный грамм,бакалея
2832,масло вол крест,молочка
13019,чеснок свежий цена за кг,овощи_и_фрукты
3527,пакет бристоль,упаковка
5675,мозырское молоко пастеризованный процент литр ф п мозырские мп,молочка
8353,фуфайка bts трикотаж темно синий грамм,одежда_и_обувь
3600,пакет с символикой горожанка х,упаковка
11317,чипсы lay s maxx куриный крылышк барбек грамм,снеки
10933,биолакт тема детский б сах процент тba грамм,дети
12821,горошек круглый год грамм,овощи_и_фрукты
4417,пиво карловец жб,алкоголь
1423,сибирская корона пивной напиток лайм,алкоголь
7903,ароматизатор haas ванилин грамм,бакалея
11879,мал,упаковка
5299,хл дом хлеб герк полов нар грамм,хлеб
8234,camel compact blue мрц мрц,табак
10600,хлеб чиабатта с оливками и сыром вес,хлеб
4199,перец красный fl лоток,овощи_и_фрукты
9771,конфеты прохлада с кокосом в а,чай_и_сладкое
4491,медвежонок барни пирожное с шоколадный нач грамм большевик,чай_и_сладкое
2823,гель д бр нив ч к,косметика
3233,маска плёнка для лица с зелёны,косметика
7407,чипсы лэйз стакс сметана и лук,снеки
10218,адидас гель д душа мужской в афтер спорт мл,косметика
7819,сыр лента пармезан фасованный процент грамм,гастрономия
4755,лоток для обуви x x cm,для_дома
3974,салат дуболистный зе,овощи_и_фрукты
6863,pepsi газированный нап литр пэт пепси,напитки
6765,картофель мытый кг,овощи_и_фрукты
3611,дядя ваня томаты в т с грамм дядя,овощи_и_фрукты
12072,к ц паштет печеночный грамм,гастрономия
9722,герметик силикон,для_дома
11474,майонез calve классический ж процент,бакалея
2929,литр винный нап чинзан экст драй,алкоголь
4954,хлеб финский зерновой,хлеб
5057,украш елочн home club пирожноеhs,для_дома
3235,купон на доп скидку процент скидк,услуги
8364,bq пуховик детский спорт,одежда_и_обувь
6526,творог зерненый брест литовск,молочка
11363,д п сок сады придонья яблочный виногр мл,дети
5912,curtis bountea white чай белый питахай пак грамм,чай_и_сладкое
8207,карбонад к в российс,гастрономия
5626,медвежонок барни пирожное с молоч нач кг бол,чай_и_сладкое
10602,творог процент,молочка
8501,сахар белый кристаллический фасованный кг,бакалея
4535,печенье сдобное дженс яшкино грамм,чай_и_сладкое
8793,апельсины марок фасованный,овощи_и_фрукты
2767,кухмастер соус сацеб с б грамм,бакалея
5866,зелень лук в упаковке грамм,овощи_и_фрукты
1755,пицца наши победят,кафе
113,американо стандарт,кафе
1066,без наименования,не_определена
5169,чудо детки йогурт пит клуб мал с пребиот процент грамм д,дети
12058,спелен пюре груш с вит грамм,дети
1328,творог процент штука,молочка
1676,паkет билла больш,упаковка
4611,duracell basic батарейки аа штука дю,для_дома
7627,зефир шпек грамм haribo,чай_и_сладкое
9530,картофель кг,овощи_и_фрукты
9984,авокадо штука,овощи_и_фрукты
7443,напиток б а coca cola l,напитки
10481,з паста colgate др секр безоп отб мл,здоровье
8027,dr oetk сахар ванильный грамм,бакалея
9385,яблоко сезонное кг,овощи_и_фрукты
12212,овoщи каptофeль кpасный pоcс,овощи_и_фрукты
3248,корнеплод кг свекла ип игнина,овощи_и_фрукты
1934,cалф д уборки штука,для_дома
11753,смесь магги на второе д курицы п,бакалея
5802,йодбаланс таблетка мг,здоровье
7262,про молоко топл мл _,молочка
5521,red bull blue editio,напитки
13652,картофель для варки,овощи_и_фрукты
8239,смесь морозко green грамм,овощи_и_фрукты
6190,помидоры,овощи_и_фрукты
13481,перчатkи хоз ые kд,для_дома
5091,тв прод danone процент груша бана,молочка
12944,fax т мыло яблоко грамм эвьяп сабун,для_дома
11462,бумага туал линия вейро аромати,для_дома
11901,лимоны свежий цена за кг,овощи_и_фрукты
5356,kондиц vernel,для_дома
6221,сосиски сливочные грамм вакуумная упаковка клинский,гастрономия
9446,хлебцы fazer овощи микс капуст,хлеб
2957,майонез авеню вкуса провансаль процент грамм дой пак,бакалея
13434,соус сметанный с грибами,кафе
13642,шоколад тоблерон гор,чай_и_сладкое
1450,пакет spar большой штука,упаковка
6781,свекла кг,овощи_и_фрукты
13104,батон сыктывкархлеб нарезн нарезан грамм,хлеб
11695,heinz кетчуп средизем кат грамм,бакалея
6244,fissman ложка для риса см нейлон силикон,для_дома
12455,виноград белый н у кг,овощи_и_фрукты
7977,мист крупа греч ядр пропар грамм,бакалея
7996,раэ сырок глазир сгуще процент грамм,молочка
13598,fr tel марм temp вк мал клуб грамм,чай_и_сладкое
10068,сосиски мини кунгур,гастрономия
6469,пакет магнит белый пластиктрейд,упаковка
11446,пакет лента средний майка кг,упаковка
5012,кабачки кг,овощи_и_фрукты
2381,стеклоочиститель зимний тчн,машина
12593,тд сметанин молоко у пастеризованный процент грамм,молочка
5657,мозырское молоко пастеризованный процент литр ф п мозырские мп,молочка
8392,тема биотв с lgg банан процент грамм,молочка
8653,крабов пал трад грамм,гастрономия
82,сыр российский процент вес,гастрономия
1191,сыр гауда кг,гастрономия
5829,рутер глад дск,для_дома
11073,рычаг стеклоочистителя правый с грамм штука,машина
11850,к ц пряники звездные грамм,чай_и_сладкое
5294,пиво paul hefe w ж б литр,алкоголь
8999,макароны ameria лапша кор грамм,бакалея
8456,нормобакт джуниор таблетка в форме медвежон,здоровье
10549,вода мин аш тау элита газированный ст б l,напитки
8658,кап брокк вв грамм,овощи_и_фрукты
6513,яблоки красные вес,овощи_и_фрукты
5733,хлеб рижский заварной грамм нарезка трубчевскхлеб,хлеб
7941,ф н пюре в сал об в с д п д грамм,кулинария
2447,gl vil имбирь мар грамм,бакалея
3443,петрушка листовая свежий цена за штука,овощи_и_фрукты
11824,академия комфорта мешки д мусора литр,для_дома
2588,бананы кг,овощи_и_фрукты
12917,продукт к м йог лакт снежок сах процент грамм,молочка
105,вл салф baby go дуо детские риф,дети
3816,настойка горькая стужа медовая с перцем процент литр,алкоголь
1999,игрушkа лопат см,дети
7213,сыр hochland творож сливочн процент грамм,гастрономия
11031,з паста н жемчуг кальций в упак мл,здоровье
11660,кальмар натур филе грамм ж б беринг,рыба
8992,лимоны коробка вес,овощи_и_фрукты
2918,молоко простоквашино,молочка
12180,splat kids зуб п д детей лет фрук,здоровье
11739,конд ульт лисс мл,косметика
9020,хоз мыло процент грамм нмжk,для_дома
3885,доска разделочная лопатка в подарок,для_дома
11263,пирожное барни медвеж биск шоколадный нач грамм,чай_и_сладкое
4320,корень имбиря,овощи_и_фрукты
7874,хлебгерkулесзернов,хлеб
6502,телеграфный сбор,услуги
7561,батон горчичный кг в упаковке энгельсский хк,хлеб
440,вафли яшкино с вареной сгущенкой грамм,чай_и_сладкое
8185,mdd ряженка лакомо,молочка
8118,чай беседа классический отборный черный п грамм,чай_и_сладкое
6058,клюква садовая кв,овощи_и_фрукты
1940,вода питьевая ниагара газированный п б,напитки
10472,сыр bonvida тильзитер нар грамм,гастрономия
4820,напиток пепси кола литр,напитки
9223,шоколад milka bubbles грамм,чай_и_сладкое
3338,базилик kamis грамм,бакалея
12183,игра ходилка с фишками путешествие по россии,дети
12268,тема биотв с клуб бан процент грамм,дети
3759,томаты сливовидные красные кг,овощи_и_фрукты
2768,katty корм д кош лос фор грамм,животные
5385,ананас свежий цена за штука,овощи_и_фрукты
2826,ват пал аура п э,для_дома
396,конф рот фронт батончики шоколадный сливочный вес,чай_и_сладкое
7323,пакет лента майка кг,упаковка
9138,карамель halls леденцовая,чай_и_сладкое
5692,яблоки свежий урожай цена за кг,овощи_и_фрукты
3646,зол кол батон славянск нар грамм,хлеб
10429,кирж мз твор с вареная брусн процент грамм,молочка
10400,пиво вп светлячок светлое пастер с б процент,алкоголь
7881,уkроп зеленый свежий цена за штука,овощи_и_фрукты
13065,груши конференция кг,овощи_и_фрукты
9455,тетрадь tm profit клетка литр о,для_дома
13214,чипсы lay s со вкусом краба грамм,снеки
111,лампа св диод philips bulb we хол св,для_дома
12579,соус хайнц барбеkю грамм,бакалея
2232,виноград черный кг,овощи_и_фрукты
7084,котлеты из мяса птицы паровые,кулинария
9779,пакет магнит белый ксо,упаковка
12623,после ссоры ммодчт тодд,для_дома
5864,владпродукт сосиски бавар грамм,гастрономия
8575,сумма за текст телеграммы,услуги
5955,аи k евро n,машина
6421,киндер яйцо нг грамм,дети
12218,морkовь фасованная п э цена за штук,овощи_и_фрукты
5774,перец болгарский свежий красный цена за кг,овощи_и_фрукты
3703,икра минтая грамм ж б,гастрономия
5582,слобода масло подсол раф литр оао эфко,бакалея
4415,рис бурый нешлифован,бакалея
13503,хлеб тх городской нарез грамм,хлеб
8669,мандарины турция фасованный,овощи_и_фрукты
1881,красная цена сыр гауда фасованный кг,гастрономия
11708,пиво holsten prem св ст б литр,алкоголь
2523,вmoлk йoгуpt mол фруktовый процент грамм,молочка
359,кофе станд,кафе
13559,простоkвашино творог процент обрам грамм,молочка
7554,кетчуп томатный промо,кафе
2026,kлей kарандаш грамм ek,для_дома
8910,заправка д фунчозы по корейски,бакалея
10827,носk однот дев,одежда_и_обувь
11426,сыр milkana твер dulcepican мес процент вес,гастрономия
6950,фейри нежные ручки окси чайное дерево и мята мл,для_дома
7464,карамель чупа чупс ду ю лав ми грамм пл пак,чай_и_сладкое
13036,майонез оскар провансаль мл,бакалея
11628,картофель по деревен,кафе
8126,кетчуп янта классический грамм дой пак с дозатором,бакалея
8820,семёнишна масло соленое процент грамм фольга саянмоло,молочка
8852,архим ведро д ст пор р п литр,для_дома
2658,варенье вишня грамм,чай_и_сладкое
1891,maggi бул куб бул зол с куриный грамм,бакалея
5461,насадка д швабры отжим двойн рол мет креп jm,для_дома
9456,стретч пленка unibob мм х,для_дома
7995,чудо йогурт вк мал еж процент грамм,молочка
10093,пакет пнд см семья мкм,упаковка
10907,пакет с логотипом,упаковка
10061,молоко кунгур питьевое пастериз,молочка
4014,dr fr пюре яблочный со злак лож грамм,дети
558,десерт молdanone данис карам тофф процент,молочка
6743,данон йогурт процент клубника грамм,молочка
8594,аргентинсk kрвт,рыба
2010,тетрадь литр лаk,для_дома
8553,уксус яблочный натуральный процент,бакалея
13379,шоколад россия российский гор процент грамм,чай_и_сладкое
10017,колбаски вареные нюр,гастрономия
3383,скраб д тела мл а,косметика
11240,шоколад россия молочный минд изюм грамм,чай_и_сладкое
10652,barilla соус песто дженов грамм,гастрономия
12321,прост молочный отб процент мл,молочка
5017,коктей моллента disn у п ванилька процент,молочка
9217,вkусный день масса творож изюм процент,молочка
5438,гранат свежий цена за кг,овощи_и_фрукты
5485,aura салфетки влажные штука детские алое,для_дома
12426,корм д соб pedigree говяд всех пор кг,животные
7096,сыр маасдам процент,гастрономия
3255,сыр кг ламбер процент вимм билль дан,гастрономия
7270,ают хл хл пр сем подс льн грамм,бакалея
2249,бифилайф детский облепиха абрикос штука,дети
9303,печенклюква,кафе
8410,impulse батончик в мягкой карамели,чай_и_сладкое
6672,стержни штука м,для_дома
1801,нк корк асс молочный грамм,чай_и_сладкое
13547,лд ред сигареты мрц джти,табак
2111,наушники qcyber beat охватывающие закрытые гц микр рег гром каб м разъем usb,компьютер
6504,led тел р daewoo l s белый,для_дома
10450,мандарин нова,овощи_и_фрукты
5757,перец вес болгарский kрасный,овощи_и_фрукты
4454,хлеб домашний на молоке грамм,хлеб
9629,пакет магнит косметик мал пласти,упаковка
11595,язычок слоеный с сахаром кг,чай_и_сладкое
13317,роутер zyxel keenetic extra ii,компьютер
4056,яблоки красные свежий цена за кг,овощи_и_фрукты
6755,пудинг гранд десерт ваниль процент грамм эрманн германия,молочка
11340,напит б а нап из черногол байкал с газированный l,напитки
11864,фо овощная смесь итальяно грамм штука,овощи_и_фрукты
1097,гель чист sarma д сантех лимон мл,для_дома
8279,грамм итал хлеб чиабатта класс,хлеб
10161,пиво holsten premium св литр,алкоголь
1371,киви свежий цена за кг,овощи_и_фрукты
2855,стоим,не_определена
10240,творог агуша детский фр абр мор мес процент,дети
2060,gl vil мандарины клементины кг,овощи_и_фрукты
6034,конфеты родные просторы грамм,чай_и_сладкое
12211,kофe jde в зeрнax jасoвs моna,чай_и_сладкое
8492,увелка крупа гречневая экстра вареная пак грамм к к ре,бакалея
1391,шампунь дегтярный антиперхоть мл x,косметика
450,джем махеевъ лесные ягоды грамм,чай_и_сладкое
12516,чудесный край печенье сдобное,чай_и_сладкое
7571,яблоко сезонное кг,овощи_и_фрукты
12106,пб решетка для мойки универсальн,для_дома
11307,шоколад alpen gold молочный черника грамм,чай_и_сладкое
12303,корзина д белья бытпласт узк литр,для_дома
3286,масло подс cлобода,бакалея
9126,бумага туалетная вторм,для_дома
3065,алтай ск крупа экстра греч грамм,бакалея
520,пряники лента с клубничной начинкой грамм,чай_и_сладкое
7496,шоколад милки вей грамм,чай_и_сладкое
4233,укроп fl грамм,бакалея
233,сырок творож свитлогорье процент грамм кокос,молочка
10312,пакет магнит kосметик мал пластиктре,упаковка
9139,помело к,овощи_и_фрукты
8621,вафли с карамельной начинкой грамм,чай_и_сладкое
7036,даниссимо сол карам крошка,чай_и_сладкое
12396,масло подсолнечное злато рафинированное литр,бакалея
1587,открывалка an ретро дер ручкой к,для_дома
57,настоящий мужчина бритва м,косметика
5358,паkет билла био мал,упаковка
10496,мин вода липецкий бювет газированный литр пб штука,напитки
5858,баб лук рагу овощ цыпленок грамм,кулинария
10146,семенаиндау,овощи_и_фрукты
9863,нектар любимый яблоко литр ви,напитки
7470,сыр пармезан сармич процент фасованный грамм,гастрономия
10592,перец желтый,овощи_и_фрукты
9615,капуста свежий цена за кг,овощи_и_фрукты
7813,сыр e piim рассольный брынза процент грамм,гастрономия
2542,средство helfer hlr,для_дома
4459,cмесь nestle nan грамм с мес,дети
4623,увелка рис обраб пар грамм,бакалея
13216,нектар дней яблочно виноградный l,напитки
13243,жевательный резинка orbit белосн нежн мята грамм,здоровье
1233,c вафли голландские дарлетто карамель грамм,чай_и_сладкое
2914,soft салфетки бум сл белые,для_дома
5848,сами с усами жидкая каша молочный овсян,дети
178,felix дв вкуснятина kорм д кош лос ф,животные
1085,напиток б а мадам лимонова лимонад l,напитки
11712,tuc крекер со смет и луком грамм,снеки
2342,томаты сливовидные красные кг,овощи_и_фрукты
4299,томаты вес кг,овощи_и_фрукты
2209,кефир процент грамм волжские прост,молочка
10966,пакет дней д бутербродов п э,для_дома
7395,яйцо шоколадный kinder uovo maxi с игр макси,дети
13462,т б чистый дом м,для_дома
3246,bounty батончик грамм,чай_и_сладкое
514,вода мин святой источник газированный l,напитки
4667,канал кр,для_дома
8834,сигареты ld club platinum п,табак
5588,пастила с кусочками мармелада грамм фл п сладоград,чай_и_сладкое
2682,вин нап боска,алкоголь
7992,продв печ д чемпиона глаз грамм,чай_и_сладкое
7368,молоко простоквашино процент грамм,молочка
6207,помело китай кг,овощи_и_фрукты
6684,вкладыш с перфорацией ф a мкм штука вертикальн,для_дома
5489,сумkа из полипропи,упаковка
9497,ветчина велком грамм из свин окорока вареная,гастрономия
11599,мандарины свежие цена за кг,овощи_и_фрукты
7492,говядина ломтики с к джоки грамм,снеки
7429,сироп бионэржи брусничный грамм ст бутылка,чай_и_сладкое
2749,энтерол капс мг флакон,здоровье
12158,слобода биойогурт с лимоном процент грамм пл ванна эф,молочка
6981,фунчоза со свин в кисл сл соус лента,кулинария
4975,чечебуреки с говядин и свининой чебуречье,гастрономия
11473,мыло аистенок детск с молоч прот,дети
3227,проkл kи гиг comt kд,здоровье
9720,песок сухой квар,для_дома
2329,мист гречка ядрица грамм,бакалея
5625,aura beauty ватные диски штука коттон клаб,для_дома
13450,сухариkи ржан семги,снеки
6328,капуста китайский кг,овощи_и_фрукты
3091,агуша кефир детский с мес процент,дети
2277,газированный нап черноголовка литр тархун ст б,напитки
12209,вмолк мoлokо boлoгжaнka процент,молочка
12127,простоkвашино творог процент обрам грамм,молочка
9952,дезодорант ролик гарнье,косметика
12532,фрутоняня пюре яблоко банан с творог грамм гуал п про,дети
13242,сыр костромской процент вес кг,гастрономия
3378,ароматизатор мембран,для_дома
11149,пирог с творогом и вишней вес,чай_и_сладкое
3322,печ золотая симф kух,чай_и_сладкое
2002,тетр литр kл грин,для_дома
7417,пакет фирменный см мкм гм палата маечка бол,упаковка
7401,набор игровой доктор пр арт,дети
7424,кукуруза бондюэль сладкая грамм ж б,бакалея
1540,торт ванильный божанси от шеф,чай_и_сладкое
7453,вермишель роллтон б п на дом бульоне с курицей острой грамм пл пак,бакалея
7217,хурма королек вес кг,овощи_и_фрукты
11841,чеснок кг,овощи_и_фрукты
4814,балт бер хамса черномор пр грамм,рыба
3705,виски white hors,алкоголь
8236,капуста брокколи круг год грамм,овощи_и_фрукты
4637,цилиндр standers кл верт хром,для_дома
1142,набор мельница совок формочки премиум,дети
5090,десерт твор danone процент клубни,молочка
4936,пакет пятерочка х см,упаковка
13264,н р дней однораз посуды вил нож сал,для_дома
5075,шампунь чистая линия д лом ослаб вол,косметика
2966,куб молочный молочный процент канистра грамм,молочка
6268,п к ст сол,кафе
12245,лимонад шихан,напитки
11592,хлеб городской пшен кг не упаковка,хлеб
7645,сырок б ю александров грамм,молочка
4643,сам ун желт х,для_дома
10317,бананы,овощи_и_фрукты
12904,kубансkий молочниk молоко процент грамм,молочка
7253,хлеб целинный пшен с грамм,хлеб
5225,конфеты шоколадные mars минис вес кг,чай_и_сладкое
9552,карта лояльности тс,услуги
13563,хлеб тостовый нарезка грамм,хлеб
1774,сок гранат азерб литр,напитки
11141,багет с ветчиной и сыром грамм,кулинария
7512,соус в ассортим,кафе
10781,йогурт активиа пит процент натура,молочка
9044,чеснок кг,овощи_и_фрукты
9113,влаж салф д детский штука,дети
7276,nivea пена д бритья д чувст кожи охлажденный,косметика
846,газированный вода kока kола литр,напитки
1306,сыр хотьковский кг,гастрономия
823,сыр тревиль бри классик бел плес процент,гастрономия
10676,сосиски сливочный ц о,гастрономия
2022,марkер теkст штука,для_дома
4444,напиток пивной miller литр,алкоголь
9577,трк аи к опти,машина
7419,балык спк свиной с к нарезка грамм д ф,гастрономия
6205,bucheron baby белый шоколад с кусочками апельсина грамм,чай_и_сладкое
9788,авокадо кг,овощи_и_фрукты
3085,бананы свежий цена за кг,овощи_и_фрукты
8529,корм д кош фрискис гягнен штука ндс процент,животные
2919,вода бон аква газированный,напитки
9689,fairy неж рук сред мыт пос чай дер мята мл прок,для_дома
5028,вода мин аксинья н газированный l,напитки
4087,sigma д лам сл а а а м ш,для_дома
287,сухарики хрустеам багет буж с фр гор грамм,снеки
5801,мумие таблетка мг,здоровье
12061,зелень укроп в упаковке грамм,овощи_и_фрукты
9702,батон нарезной в с нар грамм че,хлеб
1764,напиток m ms желтый мл,напитки
10282,сухарики корочки ржаные бекон,снеки
4711,нkтсисиkэтkомk паk,животные
13604,safeguard мыло клас туалет грамм,для_дома
5027,жевательный рез orbit белосн классический грамм,здоровье
11938,масло сладко сливочный несоленое крестьянское зеленый луг,молочка
10345,шприц однораз мл x,здоровье
936,яблоки гольден кг,овощи_и_фрукты
3166,шоколад нестле горький,чай_и_сладкое
